,FirstName,LastName,InvoiceTotals
0,Helena,Holý,49.62
1,Richard,Cunningham,47.62
2,Luis,Rojas,46.62
3,Hugh,O'Reilly,45.62
4,Ladislav,Kovács,45.62
5,Fynn,Zimmermann,43.62
6,Julia,Barnett,43.62
7,Frank,Ralston,43.62
8,Victor,Stevens,42.62
9,Astrid,Gruber,42.62
10,Terhi,Hämäläinen,41.62
11,Johannes,Van der Berg,40.62
12,Isabelle,Mercier,40.62
13,František,Wichterlová,40.62
14,Wyatt,Girard,39.62
15,João,Fernandes,39.62
16,Heather,Leacock,39.62
17,Dan,Miller,39.62
18,Jack,Smith,39.62
19,Bjørn,Hansen,39.62
20,François,Tremblay,39.62
21,Luís,Gonçalves,39.62
22,Manoj,Pareek,38.62
23,Joakim,Johansson,38.62
24,Dominique,Lefebvre,38.62
25,Camille,Bernard,38.62
26,Tim,Goyer,38.62
27,Jennifer,Peterson,38.62
28,Diego,Gutiérrez,37.62
29,Mark,Taylor,37.62
30,Steve,Murray,37.62
31,Phil,Hughes,37.62
32,Emma,Jones,37.62
33,Enrique,Muñoz,37.62
34,Stanisław,Wójcik,37.62
35,Lucas,Mancini,37.62
36,Marc,Dubois,37.62
37,Niklas,Schröder,37.62
38,Hannah,Schneider,37.62
39,Madalena,Sampaio,37.62
40,Ellie,Sullivan,37.62
41,Aaron,Mitchell,37.62
42,Martha,Silk,37.62
43,Edward,Francis,37.62
44,Robert,Brown,37.62
45,Patrick,Gray,37.62
46,John,Gordon,37.62
47,Kathy,Chase,37.62
48,Michelle,Brooks,37.62
49,Frank,Harris,37.62
50,Mark,Philips,37.62
51,Fernanda,Ramos,37.62
52,Roberto,Almeida,37.62
53,Alexandre,Rocha,37.62
54,Eduardo,Martins,37.62
55,Kara,Nielsen,37.62
56,Daan,Peeters,37.62
57,Leonie,Köhler,37.62
58,Puja,Srivastava,36.64
