,ArtistName,ArtistSales,CustomerName,CustomerSpend
0,Iron Maiden,138.6,Mark Taylor,17.82
1,Iron Maiden,138.6,Madalena Sampaio,15.84
2,Iron Maiden,138.6,Hannah Schneider,13.86
3,Iron Maiden,138.6,Frank Harris,13.86
4,Iron Maiden,138.6,Patrick Gray,8.91
5,Iron Maiden,138.6,František Wichterlová,8.91
6,Iron Maiden,138.6,Manoj Pareek,5.94
7,Iron Maiden,138.6,Camille Bernard,5.94
8,Iron Maiden,138.6,Tim Goyer,5.94
9,Iron Maiden,138.6,Victor Stevens,4.95
10,Iron Maiden,138.6,Astrid Gruber,4.95
11,Iron Maiden,138.6,Steve Murray,3.96
12,Iron Maiden,138.6,Jennifer Peterson,3.96
13,Iron Maiden,138.6,Enrique Muñoz,2.97
14,Iron Maiden,138.6,Puja Srivastava,1.98
15,Iron Maiden,138.6,Phil Hughes,1.98
16,Iron Maiden,138.6,Emma Jones,1.98
17,Iron Maiden,138.6,Joakim Johansson,1.98
18,Iron Maiden,138.6,Ellie Sullivan,1.98
19,Iron Maiden,138.6,Martha Silk,1.98
20,Iron Maiden,138.6,Fernanda Ramos,1.98
21,Iron Maiden,138.6,Alexandre Rocha,1.98
22,Iron Maiden,138.6,Stanisław Wójcik,0.99
23,Iron Maiden,138.6,Hugh O'Reilly,0.99
24,Iron Maiden,138.6,Ladislav Kovács,0.99
25,Iron Maiden,138.6,Edward Francis,0.99
26,Iron Maiden,138.6,Eduardo Martins,0.99
27,U2,105.93,Madalena Sampaio,8.91
28,U2,105.93,Astrid Gruber,8.91
29,U2,105.93,Richard Cunningham,7.92
30,U2,105.93,Stanisław Wójcik,5.94
31,U2,105.93,Hugh O'Reilly,5.94
32,U2,105.93,Robert Brown,5.94
33,U2,105.93,Eduardo Martins,5.94
34,U2,105.93,Mark Taylor,4.95
35,U2,105.93,Helena Holý,4.95
36,U2,105.93,Ladislav Kovács,3.96
37,U2,105.93,João Fernandes,3.96
38,U2,105.93,Victor Stevens,3.96
39,U2,105.93,František Wichterlová,3.96
40,U2,105.93,Johannes Van der Berg,2.97
41,U2,105.93,Kathy Chase,2.97
42,U2,105.93,Kara Nielsen,2.97
43,U2,105.93,Steve Murray,1.98
44,U2,105.93,Isabelle Mercier,1.98
45,U2,105.93,Marc Dubois,1.98
46,U2,105.93,Edward Francis,1.98
47,U2,105.93,Frank Ralston,1.98
48,U2,105.93,John Gordon,1.98
49,U2,105.93,Heather Leacock,1.98
50,U2,105.93,Bjørn Hansen,1.98
51,U2,105.93,Leonie Köhler,1.98
52,U2,105.93,Dominique Lefebvre,0.99
53,U2,105.93,Dan Miller,0.99
54,U2,105.93,Frank Harris,0.99
55,U2,105.93,Luís Gonçalves,0.99
56,Metallica,90.09,Wyatt Girard,8.91
57,Metallica,90.09,Heather Leacock,8.91
58,Metallica,90.09,Hannah Schneider,7.92
59,Metallica,90.09,Diego Gutiérrez,5.94
60,Metallica,90.09,Jack Smith,5.94
61,Metallica,90.09,Frank Harris,5.94
62,Metallica,90.09,Phil Hughes,4.95
63,Metallica,90.09,François Tremblay,4.95
64,Metallica,90.09,Emma Jones,3.96
65,Metallica,90.09,Aaron Mitchell,3.96
66,Metallica,90.09,Fernanda Ramos,3.96
67,Metallica,90.09,Enrique Muñoz,1.98
68,Metallica,90.09,Johannes Van der Berg,1.98
69,Metallica,90.09,Ellie Sullivan,1.98
70,Metallica,90.09,Martha Silk,1.98
71,Metallica,90.09,Edward Francis,1.98
72,Metallica,90.09,Julia Barnett,1.98
73,Metallica,90.09,Frank Ralston,1.98
74,Metallica,90.09,Alexandre Rocha,1.98
75,Metallica,90.09,Kara Nielsen,1.98
76,Metallica,90.09,Lucas Mancini,0.99
77,Metallica,90.09,Marc Dubois,0.99
78,Metallica,90.09,Madalena Sampaio,0.99
79,Metallica,90.09,Patrick Gray,0.99
80,Metallica,90.09,John Gordon,0.99
81,Metallica,90.09,Daan Peeters,0.99
82,Metallica,90.09,Leonie Köhler,0.99
83,Led Zeppelin,86.13,Isabelle Mercier,8.91
84,Led Zeppelin,86.13,Bjørn Hansen,8.91
85,Led Zeppelin,86.13,Luis Rojas,5.94
86,Led Zeppelin,86.13,Niklas Schröder,5.94
87,Led Zeppelin,86.13,Michelle Brooks,5.94
88,Led Zeppelin,86.13,Frank Ralston,4.95
89,Led Zeppelin,86.13,Phil Hughes,3.96
90,Led Zeppelin,86.13,Fynn Zimmermann,3.96
91,Led Zeppelin,86.13,João Fernandes,3.96
92,Led Zeppelin,86.13,Jennifer Peterson,3.96
93,Led Zeppelin,86.13,Mark Philips,3.96
94,Led Zeppelin,86.13,Emma Jones,1.98
95,Led Zeppelin,86.13,Joakim Johansson,1.98
96,Led Zeppelin,86.13,Stanisław Wójcik,1.98
97,Led Zeppelin,86.13,Aaron Mitchell,1.98
98,Led Zeppelin,86.13,Edward Francis,1.98
99,Led Zeppelin,86.13,Kathy Chase,1.98
100,Led Zeppelin,86.13,Roberto Almeida,1.98
101,Led Zeppelin,86.13,Eduardo Martins,1.98
102,Led Zeppelin,86.13,Leonie Köhler,1.98
103,Led Zeppelin,86.13,Puja Srivastava,0.99
104,Led Zeppelin,86.13,Steve Murray,0.99
105,Led Zeppelin,86.13,Terhi Hämäläinen,0.99
106,Led Zeppelin,86.13,Marc Dubois,0.99
107,Led Zeppelin,86.13,Martha Silk,0.99
108,Led Zeppelin,86.13,Robert Brown,0.99
109,Led Zeppelin,86.13,Kara Nielsen,0.99
110,Led Zeppelin,86.13,Luís Gonçalves,0.99
111,Lost,81.59,Hugh O'Reilly,15.92
112,Lost,81.59,Helena Holý,15.92
113,Lost,81.59,Richard Cunningham,13.93
114,Lost,81.59,Astrid Gruber,9.95
115,Lost,81.59,Luis Rojas,5.97
116,Lost,81.59,Isabelle Mercier,5.97
117,Lost,81.59,Bjørn Hansen,3.98
118,Lost,81.59,Ladislav Kovács,1.99
119,Lost,81.59,Dominique Lefebvre,1.99
120,Lost,81.59,Frank Ralston,1.99
121,Lost,81.59,Jennifer Peterson,1.99
122,Lost,81.59,François Tremblay,1.99
123,The Office,49.75,Ladislav Kovács,9.95
124,The Office,49.75,Victor Stevens,9.95
125,The Office,49.75,Frank Ralston,9.95
126,The Office,49.75,Julia Barnett,3.98
127,The Office,49.75,Heather Leacock,3.98
128,The Office,49.75,Dan Miller,3.98
129,The Office,49.75,František Wichterlová,3.98
130,The Office,49.75,Manoj Pareek,1.99
131,The Office,49.75,Tim Goyer,1.99
132,Os Paralamas Do Sucesso,44.55,Jennifer Peterson,5.94
133,Os Paralamas Do Sucesso,44.55,Luís Gonçalves,5.94
134,Os Paralamas Do Sucesso,44.55,Aaron Mitchell,3.96
135,Os Paralamas Do Sucesso,44.55,Martha Silk,3.96
136,Os Paralamas Do Sucesso,44.55,Alexandre Rocha,3.96
137,Os Paralamas Do Sucesso,44.55,Steve Murray,2.97
138,Os Paralamas Do Sucesso,44.55,Madalena Sampaio,2.97
139,Os Paralamas Do Sucesso,44.55,Stanisław Wójcik,1.98
140,Os Paralamas Do Sucesso,44.55,Lucas Mancini,1.98
141,Os Paralamas Do Sucesso,44.55,Robert Brown,1.98
142,Os Paralamas Do Sucesso,44.55,Patrick Gray,1.98
143,Os Paralamas Do Sucesso,44.55,Kathy Chase,1.98
144,Os Paralamas Do Sucesso,44.55,Kara Nielsen,1.98
145,Os Paralamas Do Sucesso,44.55,Hugh O'Reilly,0.99
146,Os Paralamas Do Sucesso,44.55,Richard Cunningham,0.99
147,Os Paralamas Do Sucesso,44.55,Roberto Almeida,0.99
148,Deep Purple,43.56,Niklas Schröder,8.91
149,Deep Purple,43.56,Michelle Brooks,8.91
150,Deep Purple,43.56,Eduardo Martins,6.93
151,Deep Purple,43.56,Manoj Pareek,5.94
152,Deep Purple,43.56,Stanisław Wójcik,3.96
153,Deep Purple,43.56,Tim Goyer,3.96
154,Deep Purple,43.56,Dan Miller,1.98
155,Deep Purple,43.56,Puja Srivastava,0.99
156,Deep Purple,43.56,Camille Bernard,0.99
157,Deep Purple,43.56,Martha Silk,0.99
158,Faith No More,41.58,Daan Peeters,8.91
159,Faith No More,41.58,Wyatt Girard,5.94
160,Faith No More,41.58,Lucas Mancini,4.95
161,Faith No More,41.58,Julia Barnett,4.95
162,Faith No More,41.58,Heather Leacock,4.95
163,Faith No More,41.58,Niklas Schröder,3.96
164,Faith No More,41.58,Diego Gutiérrez,1.98
165,Faith No More,41.58,Hannah Schneider,1.98
166,Faith No More,41.58,João Fernandes,1.98
167,Faith No More,41.58,Johannes Van der Berg,0.99
168,Faith No More,41.58,Ellie Sullivan,0.99
169,Eric Clapton,39.6,Leonie Köhler,5.94
170,Eric Clapton,39.6,Luis Rojas,3.96
171,Eric Clapton,39.6,Lucas Mancini,3.96
172,Eric Clapton,39.6,Dan Miller,3.96
173,Eric Clapton,39.6,Michelle Brooks,3.96
174,Eric Clapton,39.6,Tim Goyer,2.97
175,Eric Clapton,39.6,Marc Dubois,1.98
176,Eric Clapton,39.6,João Fernandes,1.98
177,Eric Clapton,39.6,Aaron Mitchell,1.98
178,Eric Clapton,39.6,Frank Harris,1.98
179,Eric Clapton,39.6,Mark Philips,1.98
180,Eric Clapton,39.6,Fynn Zimmermann,0.99
181,Eric Clapton,39.6,Hannah Schneider,0.99
182,Eric Clapton,39.6,Martha Silk,0.99
183,Eric Clapton,39.6,Heather Leacock,0.99
184,Eric Clapton,39.6,Fernanda Ramos,0.99
185,R.E.M.,38.61,Phil Hughes,4.95
186,R.E.M.,38.61,Camille Bernard,4.95
187,R.E.M.,38.61,Edward Francis,3.96
188,R.E.M.,38.61,Mark Philips,3.96
189,R.E.M.,38.61,Eduardo Martins,3.96
190,R.E.M.,38.61,Alexandre Rocha,2.97
191,R.E.M.,38.61,Puja Srivastava,1.98
192,R.E.M.,38.61,Julia Barnett,1.98
193,R.E.M.,38.61,Richard Cunningham,1.98
194,R.E.M.,38.61,Daan Peeters,1.98
195,R.E.M.,38.61,Helena Holý,1.98
196,R.E.M.,38.61,Stanisław Wójcik,0.99
197,R.E.M.,38.61,Ellie Sullivan,0.99
198,R.E.M.,38.61,Victor Stevens,0.99
199,R.E.M.,38.61,František Wichterlová,0.99
200,Creedence Clearwater Revival,36.63,Kara Nielsen,6.93
201,Creedence Clearwater Revival,36.63,Isabelle Mercier,5.94
202,Creedence Clearwater Revival,36.63,Puja Srivastava,3.96
203,Creedence Clearwater Revival,36.63,Camille Bernard,3.96
204,Creedence Clearwater Revival,36.63,Robert Brown,3.96
205,Queen,36.63,Enrique Muñoz,3.96
206,Queen,36.63,Dominique Lefebvre,3.96
